timestamp,distance_cm
25.03.01 08.38.22,7.92
25.03.01 08.38.23,11.50
01/03/25 08:38:24,11.88
25.03.01 08.38.25,6.10
25.03.01 08.38.26,7.40
25.03.01 08.38.27,10.26
25.03.01 08.38.28,9.37
25.03.01 08.38.29,9.97
25.03.01 08.38.30,8.29
25.03.01 08.38.31,"11,76"
25.03.01 08.38.32,11.56
25.03.01 08.38.33,10.13
25.03.01 08.38.34,12.25
25.03.01 08.38.35,10.94
25.03.01 08.38.36,8.28
25.03.01 08.38.37,10.74
25.03.01 08.38.38,8.08
25.03.01 08.38.39,11.76
25.03.01 08.38.40,9.90
25.03.01 08.38.41,9.63
25.03.01 08.38.42,8.64
25.03.01 08.38.43,12.45
25.03.01 08.38.44,9.69
25.03.01 08.38.45,9.14
25.03.01 08.38.46,9.30
25.03.01 08.38.47,11.06
25.03.01 08.38.48,10.73
25.03.01 08.38.49,10.83
25.03.01 08.38.50,10.86
25.03.01 08.38.51,14.28
25.03.01 08.38.52,9.19
25.03.01 08.38.53,8.98
25.03.01 08.38.54,8.37
2025-03-01 08:38:55,11.23
25.03.01 08.38.56,12.26
25.03.01 08.38.57,"9,77"
25.03.01 08.38.58,8.32
25.03.01 08.38.59,8.35
25.03.01 08.39.00,11.30
25.03.01 08.39.01,11.49
25.03.01 08.39.02,11.09
25.03.01 08.39.03,8.67
25.03.01 08.39.04,10.46
25.03.01 08.39.05,10.23
25.03.01 08.39.06,10.44
25.03.01 08.39.07,11.74
25.03.01 08.39.08,10.45
25.03.01 08.39.09,11.36
25.03.01 08.39.10,10.14
25.03.01 08.39.11,10.58
25.03.01 08.39.12,11.26
25.03.01 08.39.13,7.09
25.03.01 08.39.14,9.36
25.03.01 08.39.15,9.06
25.03.01 08.39.16,8.72
25.03.01 08.39.17,9.45
25.03.01 08.39.18,12.99
25.03.01 08.39.19,8.27
25.03.01 08.39.20,11.94
25.03.01 08.39.21,6.63
25.03.01 08.39.22,9.33
25.03.01 08.39.23,10.33
25.03.01 08.39.24,11.17
25.03.01 08.39.25,11.42
25.03.01 08.39.26,11.59
25.03.01 08.39.27,9.30
25.03.01 08.39.28,9.08
25.03.01 08.39.29,11.72
25.03.01 08.39.30,9.62
25.03.01 08.39.31,7.45
25.03.01 08.39.32,7.73
25.03.01 08.39.33,8.16
25.03.01 08.39.34,10.99
25.03.01 08.39.35,10.28
25.03.01 08.39.36,11.38
25.03.01 08.39.37,9.15
25.03.01 08.39.38,10.32
25.03.01 08.39.39,11.25
25.03.01 08.39.40,9.38
25.03.01 08.39.41,10.91
25.03.01 08.39.42,8.68
25.03.01 08.39.43,9.27
25.03.01 08.39.44,9.24
25.03.01 08.39.45,7.61
25.03.01 08.39.46,10.97
25.03.01 08.39.47,9.06
